"Mask($close/Ref($close,1)-1,'SH000300')","Mask(Mean($close/Ref($close,1)-1,5),'SH000300')","Mask(Std($close/Ref($close,1)-1,5),'SH000300')","Mask(Mean($amount,5)/$amount,'SH000300')","Mask(Std($amount,5)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,10),'SH000300')","Mask(Std($close/Ref($close,1)-1,10),'SH000300')","Mask(Mean($amount,10)/$amount,'SH000300')","Mask(Std($amount,10)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,20),'SH000300')","Mask(Std($close/Ref($close,1)-1,20),'SH000300')","Mask(Mean($amount,20)/$amount,'SH000300')","Mask(Std($amount,20)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,30),'SH000300')","Mask(Std($close/Ref($close,1)-1,30),'SH000300')","Mask(Mean($amount,30)/$amount,'SH000300')","Mask(Std($amount,30)/$amount,'SH000300')","Mask(Mean($close/Ref($close,1)-1,60),'SH000300')","Mask(Std($close/Ref($close,1)-1,60),'SH000300')","Mask(Mean($amount,60)/$amount,'SH000300')","Mask(Std($amount,60)/$amount,'SH000300')","Mask($close/Ref($close,1)-1,'SH000905')","Mask(Mean($close/Ref($close,1)-1,5),'SH000905')","Mask(Std($close/Ref($close,1)-1,5),'SH000905')","Mask(Mean($amount,5)/$amount,'SH000905')","Mask(Std($amount,5)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,10),'SH000905')","Mask(Std($close/Ref($close,1)-1,10),'SH000905')","Mask(Mean($amount,10)/$amount,'SH000905')","Mask(Std($amount,10)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,20),'SH000905')","Mask(Std($close/Ref($close,1)-1,20),'SH000905')","Mask(Mean($amount,20)/$amount,'SH000905')","Mask(Std($amount,20)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,30),'SH000905')","Mask(Std($close/Ref($close,1)-1,30),'SH000905')","Mask(Mean($amount,30)/$amount,'SH000905')","Mask(Std($amount,30)/$amount,'SH000905')","Mask(Mean($close/Ref($close,1)-1,60),'SH000905')","Mask(Std($close/Ref($close,1)-1,60),'SH000905')","Mask(Mean($amount,60)/$amount,'SH000905')","Mask(Std($amount,60)/$amount,'SH000905')","Mask($close/Ref($close,1)-1,'SH000906')","Mask(Mean($close/Ref($close,1)-1,5),'SH000906')","Mask(Std($close/Ref($close,1)-1,5),'SH000906')","Mask(Mean($amount,5)/$amount,'SH000906')","Mask(Std($amount,5)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,10),'SH000906')","Mask(Std($close/Ref($close,1)-1,10),'SH000906')","Mask(Mean($amount,10)/$amount,'SH000906')","Mask(Std($amount,10)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,20),'SH000906')","Mask(Std($close/Ref($close,1)-1,20),'SH000906')","Mask(Mean($amount,20)/$amount,'SH000906')","Mask(Std($amount,20)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,30),'SH000906')","Mask(Std($close/Ref($close,1)-1,30),'SH000906')","Mask(Mean($amount,30)/$amount,'SH000906')","Mask(Std($amount,30)/$amount,'SH000906')","Mask(Mean($close/Ref($close,1)-1,60),'SH000906')","Mask(Std($close/Ref($close,1)-1,60),'SH000906')","Mask(Mean($amount,60)/$amount,'SH000906')","Mask(Std($amount,60)/$amount,'SH000906')",sentiment_response,average_sentiment,comment_count
-0.7656782,-0.30537167,-0.89344203,-0.24828179,-0.270246,-0.40845445,-1.1181788,-0.33337942,-1.1509011,-0.0690768,-1.3418057,-0.5942683,-1.02605,-0.10447566,-1.336659,-0.51517314,-1.2582028,0.3211902,-1.7810953,-0.71447456,-0.92993486,-1.2698973,-0.691282,-0.75590146,-0.7360762,-0.31264493,-0.6172402,-1.1804177,-0.734386,-0.9542421,-0.25520644,-1.3229295,-0.79409784,-1.2731022,-0.1009855,-1.4130167,-0.67204255,-1.4708486,0.028324569,-1.5186553,-0.86284447,-0.97333175,-0.9523666,-0.46134514,-0.8621082,-0.4752473,-0.3225799,-0.5032203,-1.1552993,-0.5208417,-1.124344,-0.13378948,-1.3059033,-0.6960163,-1.1736423,-0.11009406,-1.3206329,-0.5951437,-1.4732759,0.26338843,-1.8388264,-0.7964778,-1.0131708,-1.0,0.0,2130
0.46574813,-0.38110697,-1.0316759,0.48580644,-0.42452753,-0.03587013,-1.217223,0.519631,-0.7306409,0.0524083,-1.3215152,0.10707784,-0.7440518,0.044589225,-1.3389138,0.06709514,-0.9877922,0.3810136,-1.7747198,-0.26098275,-0.6570801,0.17746526,-0.72454697,-0.8047902,0.52790856,0.1281208,-0.36625236,-1.2025985,0.2980579,-0.51598555,-0.23881789,-1.3170023,-0.0091762645,-0.9529998,0.02959196,-1.4380965,-0.010878804,-1.2123935,0.07971002,-1.5178672,-0.3687503,-0.622315,0.39107513,-0.5251706,-0.9719998,0.52538437,-0.19655466,-0.16212238,-1.2315054,0.46101847,-0.6968233,-0.044828035,-1.2850674,0.068337075,-0.87089634,0.038170956,-1.3305452,0.029180394,-1.2035835,0.32328513,-1.8339274,-0.30489844,-0.68856084,-0.3,0.0,923
1.1994122,0.16803892,-0.5087687,-1.6718899,0.09542933,0.2632874,-0.9574998,-1.325496,-0.93334556,0.18482746,-1.2004256,-1.2897149,-1.1681617,0.034614325,-1.3500971,-1.2002424,-1.4384091,0.469167,-1.7246932,-1.1936944,-1.203594,1.4323763,-0.010262047,0.051607944,-1.1589437,0.1147569,-0.0009915356,-0.71646214,-0.9174299,-0.85566735,-0.08437921,-1.108864,-0.9585434,-1.1623099,0.12811385,-1.3143845,-0.8242985,-1.4217926,0.22803599,-1.424726,-0.960159,-1.0543969,1.3290424,0.101640165,-0.3122991,-1.5577345,0.1381211,0.1693573,-0.87353027,-1.2019962,-0.9151589,0.098621316,-1.1321545,-1.1813576,-1.170835,0.066327795,-1.2979947,-1.0533968,-1.4986866,0.43650374,-1.7615144,-1.12079,-1.2217959,0.5,0.0,783
0.22384934,0.33651087,-0.55068326,-0.81902945,0.21066241,0.21742098,-0.9704541,-0.84115547,-0.6544471,0.19631134,-1.1985941,-0.95078814,-0.9281046,0.029392073,-1.3512758,-0.9479023,-1.2299682,0.40975365,-1.747396,-1.0010058,-1.0472857,0.102162756,0.14390199,0.03496934,-0.5454876,-0.32025367,0.0047137504,-0.71535414,-0.6318358,-0.87995106,-0.05631358,-1.1051687,-0.8135329,-0.99045515,0.07784157,-1.3314555,-0.7180451,-1.3043473,0.1823535,-1.4382334,-0.8770873,-0.9738606,0.20113337,0.27166775,-0.34505966,-0.7481576,0.043850906,0.1404069,-0.88114345,-0.7731707,-0.72565484,0.1161601,-1.1295142,-0.9101267,-0.9469508,0.044976387,-1.3035308,-0.8571179,-1.315887,0.37895477,-1.7834674,-0.9663562,-1.0796403,0.5,0.0,735
0.052257363,0.41020685,-0.58239126,-0.5518388,0.1558032,0.3506491,-1.0279572,-0.75504315,-0.554098,0.2354297,-1.2031249,-0.86629426,-0.8975319,0.015928319,-1.3525759,-0.9101608,-1.1413431,0.35018125,-1.7628455,-0.97835135,-1.0036432,0.094829485,0.29884043,0.00031200727,-0.77213943,-0.23485765,0.10677214,-0.7223701,-0.8443052,-0.7977964,0.035558414,-1.1124965,-0.9760882,-0.9543045,0.042972777,-1.3416442,-0.8916281,-1.2804747,0.11669082,-1.4628706,-1.0032077,-1.022273,0.08284239,0.37621933,-0.38138178,-0.67245424,0.0073982743,0.26666468,-0.92061025,-0.8153515,-0.6371763,0.17454673,-1.1355858,-0.93270594,-0.9194539,0.023440102,-1.3069073,-0.91100013,-1.249139,0.31426692,-1.8045923,-1.0103742,-1.0694549,0.1,0.0,780
-0.34663132,0.5607046,-0.8105518,-0.6913821,0.018251082,0.18718864,-0.99505687,-0.9313292,-0.5671625,0.27972046,-1.2288345,-1.0026338,-0.9583383,0.031859796,-1.3583086,-1.0539217,-1.1304554,0.32098338,-1.7574763,-1.0931411,-1.0469725,-0.2456093,0.6880725,-0.5772719,-0.73938584,-0.062486935,0.035558715,-0.7157569,-0.850113,-0.62653786,0.12904501,-1.1584511,-0.97409755,-0.86437637,0.023643244,-1.3395245,-0.9315734,-1.2004607,0.09745598,-1.4617388,-1.0276622,-0.9915931,-0.30663902,0.61489034,-0.74242824,-0.7448423,0.01996527,0.13087085,-0.8977204,-0.9232532,-0.5573309,0.23702979,-1.1701494,-1.0107064,-0.9109904,0.02746927,-1.3080273,-1.0096908,-1.1882381,0.2870663,-1.8004675,-1.0877523,-1.080057,0.2,0.0,1040
0.27550116,0.4923787,-0.82043487,-1.0925597,-0.7662915,0.081492975,-1.0571816,-1.5174754,-0.42548853,0.33010313,-1.2256112,-1.4047905,-1.0441881,0.07581554,-1.3531325,-1.4180561,-1.1569834,0.40340173,-1.7695081,-1.3795229,-1.1710029,0.5689939,0.8368544,-0.5711166,-1.3878543,-0.2292768,0.11607882,-0.6707886,-1.5382575,-0.28495505,0.23823848,-1.1217514,-1.4655594,-0.8387186,0.12158269,-1.3086828,-1.3662276,-1.1489393,0.20105152,-1.4499563,-1.3574743,-1.1528078,0.40170667,0.6188199,-0.74199957,-1.2697663,-0.5365949,0.08799228,-0.9235421,-1.5843121,-0.3076934,0.3090464,-1.1587331,-1.4659871,-0.9417316,0.092486106,-1.2963943,-1.4074281,-1.173659,0.38081226,-1.8059174,-1.4048549,-1.2232524,0.1,0.0,998
-0.23427106,-0.022518378,-1.3125198,-1.1619185,-0.26523674,0.10662083,-1.0690525,-1.5479823,-0.12029067,0.15609059,-1.2648319,-1.4725883,-0.8416914,0.15130174,-1.388384,-1.4906185,-1.0083935,0.34156027,-1.771887,-1.4457109,-1.13585,-0.6816919,0.03350315,-0.9187409,-0.2255148,0.0032499768,0.053995896,-0.63117445,-0.78065646,0.17534639,0.008837885,-1.1162286,-0.96599543,-0.42142692,0.12230027,-1.3091401,-0.9841606,-0.7985805,0.09026191,-1.4431475,-1.0888691,-0.8501025,-0.38654348,-0.015287329,-1.222877,-0.87840253,-0.21490313,0.08276888,-0.92061627,-1.3039777,0.055375576,0.11087761,-1.1862588,-1.3088633,-0.6598305,0.14405707,-1.3230822,-1.3020475,-0.928467,0.29883277,-1.8061744,-1.3370519,-1.0809212,0.5,0.0,958
0.09581402,-0.06850135,-1.3487622,1.2473334,1.0039303,0.19648927,-1.0875174,0.30523077,0.7557335,0.18548141,-1.265645,-0.1908621,-0.02305433,0.14534675,-1.388926,-0.4689925,-0.24175294,0.36889243,-1.7735955,-0.7134526,-0.5305886,0.31351456,0.113817364,-0.8733741,1.7127857,1.2067409,0.217437,-0.62771535,0.6507135,0.55645764,0.11760965,-1.1067773,-0.015643213,0.15878049,0.1415283,-1.3032621,-0.23864122,-0.30652454,0.15988202,-1.4401113,-0.5602893,-0.33527958,0.19007415,-0.019374996,-1.2257528,1.5000865,1.0321355,0.20156269,-0.93487585,0.4889963,0.74639326,0.16840671,-1.1854814,-0.10952616,0.08868119,0.14693876,-1.322619,-0.3757006,-0.23707089,0.34223366,-1.8073245,-0.65551245,-0.4487962,-0.2,0.0,675
-0.7459343,-0.3551662,-1.1066592,1.2828797,1.3985437,0.040237017,-0.97686964,0.47867382,0.6796825,0.0281505,-1.2097712,-0.05706394,-0.09229226,0.01825895,-1.3507361,-0.38600925,-0.18887617,0.36100528,-1.7687999,-0.6511714,-0.487998,-1.0596668,-0.32489416,-0.52410215,0.6678105,0.9735667,0.019635387,-0.4794989,0.090830795,0.103346914,-0.043155834,-1.0126551,-0.37098527,-0.27125186,-0.026827617,-1.2333641,-0.548442,-0.52809775,0.13341346,-1.4225653,-0.7846779,-0.54583997,-0.86518615,-0.36978108,-0.93342274,1.0738966,1.1721406,0.025559267,-0.8018542,0.33965847,0.47087836,0.005298974,-1.1133167,-0.19290522,-0.15576099,0.0,-1.2733105,-0.46659064,-0.32054287,0.32754388,-1.7972939,-0.722717,-0.5148278,-0.6,0.0,1580
